"n","method","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
10,"MC",0.85349672022243,0.865245763429978,0.843781467762346,0.887039936456361,0.81745641748832,0.900287693274883,0.836908314187079,0.849346866829747,0.792661547314924,0.83654551019937,0.856852438452883,0.895354433267704,0.814262503468173,0.894430999826362,0.844147848243239,0.864356508158936,0.808069897027082,0.917649474725852,0.874396218881449,0.892682963010724,0.80973219853675,0.902778264563314,0.853559566327129,0.908548266927183,0.87923181981956,0.836515434531213,0.862322295685573,0.855782634822737,0.855963769259164,0.837693210396914
20,"MC",0.816813266059241,0.816625200659286,0.893185243931828,0.867665726851044,0.84579834587272,0.838178967195957,0.857947703028323,0.861895062076207,0.864889332942231,0.846071406255022,0.844146623041059,0.856122088354104,0.820413502794142,0.850596666266888,0.84300334990008,0.849486307127885,0.845665741854204,0.835347394777991,0.854523659234476,0.871995957426966,0.845167832596849,0.864677903859085,0.834152704656172,0.827264662077277,0.870106165557128,0.85729152478936,0.893711145612579,0.867155024244569,0.854681968203077,0.850322781119378
30,"MC",0.834394409507336,0.861489989058327,0.851139953504254,0.867540781135656,0.82540910044602,0.856456674116165,0.85078892075834,0.837966961569982,0.865011257994996,0.835490112711972,0.847294732106753,0.84811792449743,0.873348122062413,0.844818391287699,0.840598258467309,0.873910480710903,0.850525330801206,0.851122422535988,0.855658168360778,0.831096261607163,0.83945273464595,0.877690922754824,0.8341310201247,0.847142359862524,0.869848587489682,0.850918816044086,0.829001558475744,0.847104168742409,0.863166428862372,0.860760208962186
40,"MC",0.852790915742881,0.840058666016617,0.836921038166757,0.859295489172873,0.843761486731042,0.822709203660405,0.819047940637096,0.821902848691578,0.835774390761631,0.865350775827473,0.872313669350636,0.867411001423921,0.876556908268988,0.857202388262173,0.843892443337903,0.858262857172979,0.844376886266226,0.829812100840075,0.856855117213532,0.872275543053357,0.834175158229148,0.840310053159887,0.869910384631832,0.849277743561872,0.842940234437933,0.837835096922903,0.851267857053193,0.857132783209149,0.84848627693232,0.860963362442452
50,"MC",0.844771850033264,0.862744087710195,0.847058495451201,0.83539572790345,0.854044078164351,0.830062505643681,0.857991962113876,0.838764520143536,0.858055743289429,0.876752748513689,0.850731228364049,0.852188204688656,0.837262694635161,0.861217043558524,0.850695363210118,0.83829064539686,0.830738795694462,0.849230483538174,0.881194567982324,0.855786208500817,0.859382141514161,0.813967026096675,0.848225605239885,0.841492161809733,0.83644723232428,0.870531159780005,0.8473246038736,0.847722704874844,0.835089856385313,0.849614298326434
60,"MC",0.834350925856755,0.855765111096381,0.841448526839477,0.83645483725207,0.85558855939793,0.84640417085057,0.846490084097591,0.857694464093264,0.84780132496101,0.837755533728851,0.854649908621021,0.878159660406442,0.830510649977991,0.840612440415502,0.840737887670193,0.872307182421688,0.846746840362503,0.840814820403222,0.827287064964702,0.870467106616865,0.837781568173501,0.841722888359904,0.828964501018541,0.852957201338457,0.850595561414773,0.854788048943216,0.843937713654036,0.843719789130727,0.860217891819305,0.841591107526199
70,"MC",0.839524092178572,0.859826828615453,0.833491329547499,0.844051348952629,0.858872601042385,0.853020850650532,0.857966349764139,0.845902512025921,0.855850085330793,0.840407432188331,0.856656573730425,0.857712175217498,0.840108319100989,0.850735871725597,0.868495667678364,0.833058599035704,0.85426704520408,0.865969256009402,0.827863868788072,0.842005725220844,0.856088966914828,0.849934354683657,0.830530404569801,0.874934456924655,0.852076230714852,0.861629982449141,0.851598805809944,0.839512251337227,0.847473332262604,0.863449560929107
80,"MC",0.843270529991363,0.852853315532996,0.857641129558895,0.852442896330437,0.863227253132739,0.845374083969115,0.843727630904338,0.849189489796971,0.873600135147403,0.845451802343859,0.846037780451859,0.858328459066054,0.852783838518795,0.858100046998476,0.859817000165235,0.853399246353681,0.860439028706488,0.86151903454553,0.852066828476832,0.852641524929634,0.828217939652738,0.84074581050506,0.847159498566291,0.842848325871932,0.87071885505685,0.859514748068205,0.853350995093208,0.845178447803611,0.847733692894761,0.841943252776704
90,"MC",0.848899733202946,0.84873967525214,0.849906681162329,0.861259641219094,0.845828264700322,0.841427221658885,0.874256590481505,0.850689597173167,0.857136232126192,0.851107151035347,0.849618824706855,0.854282923700023,0.849110835727412,0.835830643854452,0.851441565168948,0.845412662191172,0.849557239899852,0.861758084348946,0.849710326240995,0.847519344305386,0.842105421622732,0.860780537315833,0.845659851855699,0.864850856882038,0.849570335675147,0.843023676394858,0.851616706228438,0.839454041117237,0.831631209685594,0.850307053254521
100,"MC",0.861238390613348,0.848533096300341,0.849421366602837,0.843351513115399,0.877246977483338,0.865420841248362,0.83396420471443,0.854510193149937,0.851666268812837,0.854343528031787,0.852258995026934,0.840050574993155,0.844248790256036,0.842707095980007,0.856153254829621,0.832984661487249,0.840229307607918,0.857661438771807,0.842563633989432,0.846534623078393,0.848753893066051,0.846119845321888,0.863205698508049,0.850960850420367,0.855868298883196,0.848619579250923,0.843801364663309,0.850822015813952,0.855405945246186,0.86099612538378
