"n","method","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
10,"MC",0.152418412843654,0.184145132654994,0.195748309014409,0.302195648865229,0.286099489592551,0.274939519842846,0.18394238690919,0.242173638010458,0.257867176742558,0.277128766304849,0.153971567728016,0.23078784792494,0.260594800960578,0.245205552218204,0.156741319774808,0.176878990719696,0.221636766134993,0.253222435090925,0.162605079194763,0.179205672215342,0.271538795868898,0.232058519198405,0.219655815293246,0.266467595658488,0.234341326604344,0.2478582700119,0.182378148841706,0.243701530583602,0.14355684338621,0.228735921661819
20,"MC",0.141095246184114,0.135156079805193,0.164366995364203,0.174623573200811,0.162914078143649,0.137787486737111,0.170040623688818,0.174236727016815,0.142661574894172,0.139000562165834,0.157954813376454,0.126756056958053,0.127173500555955,0.108030856069671,0.122216257723782,0.151328498474203,0.134807626909913,0.11769942045163,0.119804072760679,0.158844065028172,0.11678442002203,0.201894424094458,0.1104041146119,0.136562346642483,0.136655350667796,0.107051156712901,0.157668064636887,0.110592854509615,0.163176029260258,0.169103874775668
30,"MC",0.118083879623363,0.110502018074418,0.0886111218749071,0.0996353772609116,0.11982288869918,0.0987028437564323,0.0923843921386275,0.176494331314157,0.136009793159168,0.158058356511566,0.104658267345524,0.175381460060399,0.141505939684948,0.0863589060904726,0.0875151761723146,0.145418797205241,0.122453945410236,0.0904095625833361,0.120892886375881,0.123435191583996,0.100911509914734,0.144873197805211,0.112044215538592,0.0919669594379337,0.115759911215574,0.0871256999021685,0.141442177678484,0.15360011850365,0.0950816827698034,0.118350680765886
40,"MC",0.117391313532929,0.0967357963238155,0.0741494866606764,0.105903952453044,0.104084562696669,0.0985299078117369,0.146651405627687,0.139733893180668,0.100792122142199,0.124591353499794,0.0954662328676245,0.137178420453851,0.134531146286642,0.110068573373219,0.102545321663609,0.118255425771812,0.109110602550283,0.0927952299056789,0.110161703694319,0.0941754532940543,0.0912187496401988,0.0908258515769283,0.107183398692326,0.15938511375343,0.103236217114542,0.0885806097435254,0.0811056568148142,0.0765616734786719,0.109198177703288,0.106849829111644
50,"MC",0.123771385319792,0.0948015550065775,0.119071313518928,0.0817196400881152,0.111402628263001,0.147523552186017,0.0672815947773539,0.0734004648296473,0.117587064034424,0.123772269209688,0.08814685652084,0.08601533222169,0.115697753994521,0.0974614552250438,0.083317923645862,0.104631795612727,0.0997370086036265,0.0772250419569877,0.12202002938557,0.144796092822257,0.0860959852385039,0.13951728082007,0.130673879458312,0.0880467507366421,0.0978244705103824,0.109768663536129,0.103332671921335,0.07024289145842,0.106926275773051,0.0839725369583192
60,"MC",0.0859622318010329,0.0745802008940529,0.0773687015147831,0.0903921338926165,0.095053420292729,0.0875545636635805,0.108967893294384,0.115014756389463,0.063621296866954,0.115418473653376,0.0987811390263113,0.107100158919849,0.130015054936238,0.101995842652995,0.0769246516947526,0.0854969510258823,0.0665008766111229,0.0996709647048283,0.119137779543777,0.111764423333159,0.102790259734251,0.0978110356918252,0.0957866433365678,0.0587306785325031,0.0685629813550808,0.0913182922728041,0.069549582775693,0.08210140039207,0.0954766103890904,0.116720984915485
70,"MC",0.0951230417161,0.110758761097508,0.0949932432237116,0.07202331420129,0.0589087103701057,0.0963923167780691,0.0866375958219922,0.0895179791472549,0.0611920964301747,0.0756147707221048,0.0689606910215057,0.0691010335222362,0.0917677689885943,0.0623194258049922,0.0873041123452593,0.0842624591096904,0.06406534249052,0.0915062361829295,0.117969309041942,0.106514062230967,0.050897891817409,0.0918260591721474,0.0954986895479056,0.0941743921893589,0.0913646353555264,0.0830530104556001,0.0650052430858696,0.0656682005593422,0.0941651886321717,0.0668880963291194
80,"MC",0.0655432355096916,0.0641104031470795,0.0759806503299751,0.0552236364947572,0.0860687208118814,0.084674441820131,0.0642870295947646,0.0444518645843044,0.0914010104681383,0.09168287722845,0.085249228344836,0.106413132155637,0.0606262915430935,0.0818835995220343,0.0634868736110088,0.0682614856635258,0.0848753320608106,0.0860579028787876,0.0735559426545854,0.0799005584571186,0.101768010774266,0.0564589201829157,0.0618510582194835,0.0765250094998214,0.0860449046111496,0.0745972347143151,0.0668006662625875,0.072314856573253,0.0569245430033554,0.0806797439002916
90,"MC",0.08439238711002,0.0638053584746742,0.0504883729989693,0.0818229039644083,0.0634960618935753,0.0669565939922684,0.0911337973389685,0.0577934779285474,0.0595540567430881,0.0640135594399281,0.0688936574796267,0.0618564597001211,0.0699426482659783,0.0938596899131845,0.0570687135510051,0.0722668935906412,0.0751819083142687,0.0765543627631334,0.0557931905064312,0.0740468367664901,0.0601617547589948,0.0793015688218969,0.0932073133630184,0.0849091698806725,0.0541389565593259,0.0737362343392376,0.0515287488637088,0.0865070450690778,0.0791372751579697,0.0634851803351131
100,"MC",0.0588538181128319,0.0602311929555674,0.0628987925580285,0.0580774000832241,0.0985160508705202,0.0645104588422211,0.0687268457746058,0.0646446445574398,0.0762990873407395,0.0624869297684306,0.0979609845250263,0.0811107134945537,0.058653802299914,0.0539661305473772,0.0739456339110322,0.0765690227629326,0.0869890180522341,0.0616106740743868,0.0594295557710263,0.0449862682624733,0.0495017312388903,0.0646789276794845,0.057288687180995,0.0663371778538786,0.0429730027237978,0.0617418465076856,0.0587353353692225,0.0553870387971496,0.0609175840077402,0.088044095062453
