"D1.1","D1.2","D2.1","D2.2"
0.775,0.475,0.119797017199985,0.539229547863923
0.375,0.175,0.691341716182545,0.926320082177046
0.975,0.375,0.00154133313343602,0.691341716182545
0.075,0.525,0.986184960198838,0.460770452136078
0.175,0.075,0.926320082177046,0.986184960198838
0.125,0.825,0.961939766255643,0.0736799178229539
0.475,0.925,0.539229547863923,0.0138150398011617
0.675,0.725,0.238750717642026,0.175275975834908
0.725,0.975,0.175275975834908,0.00154133313343602
0.625,0.275,0.308658283817455,0.824724024165092
0.325,0.775,0.761249282357974,0.119797017199985
0.225,0.325,0.880202982800016,0.761249282357974
0.575,0.025,0.383277318072047,0.998458666866564
0.025,0.225,0.998458666866564,0.880202982800016
0.425,0.425,0.616722681927953,0.616722681927953
0.525,0.625,0.460770452136078,0.308658283817455
0.275,0.575,0.824724024165092,0.383277318072047
0.875,0.675,0.0380602337443566,0.238750717642026
0.925,0.875,0.0138150398011617,0.0380602337443566
0.825,0.125,0.0736799178229539,0.961939766255643
